market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
226,1750000,104,449,1,2012,2012,2012,0,0,0,1
309,7000000,51,469,1,2011,2013,2013,2,2,0,0
79,2535000,131,569,2,2010,2010,2011,0,1,1,1
8,1250000,131,569,2,2011,2011,2011,0,0,0,1
79,50000,32,145,1,2009,2009,2009,0,0,0,0
102,0,79,679,1,2012,2012,2012,0,0,0,1
309,14000000,17,48,1,1990,2002,2002,12,12,0,1
185,0,140,319,1,2006,2008,2008,2,2,0,0
102,50000,109,578,1,2008,2008,2008,0,0,0,0
128,10000000,91,405,1,2007,2014,2014,7,7,0,0
126,3452941,79,362,3,0,2010,2011,0,0,1,0
309,50000,127,540,1,2010,2011,2011,1,1,0,0
102,118000,38,76,1,2012,2012,2012,0,0,0,0
309,85000000,26,119,1,1998,2005,2005,7,7,0,1
107,500000,17,683,2,2010,2010,2011,0,1,1,0
137,503000,110,360,2,2011,2011,2013,0,2,2,0
363,65000000,131,580,3,2004,2005,2008,1,4,3,1
47,15000000,140,593,3,1999,2007,2010,8,11,3,1
286,38064570,131,570,4,2004,2006,2012,2,8,6,1
309,0,131,570,1,2006,2007,2007,1,1,0,0
49,9416354,131,624,6,2006,2006,2010,0,4,4,1
102,12900000,131,569,6,2010,2009,2013,-1,3,4,1
346,12800000,104,449,3,2007,2007,2009,0,2,2,1
172,17129760,140,593,4,2009,2009,2010,0,1,1,1
309,6700000,123,429,2,2004,2005,2007,1,3,2,1
102,6528902,11,38,3,2006,2009,2012,3,6,3,0
354,12250000,17,701,2,0,2008,2010,0,0,2,0
102,15590000,93,416,3,2008,2009,2011,1,3,2,1
326,30608728,131,570,1,1987,2011,2011,24,24,0,1
300,10312103,131,573,2,2009,2010,2011,1,2,1,0
29,3000000,137,567,1,0,2009,2009,0,0,0,1
29,500000,66,296,1,2008,2011,2011,3,3,0,0
284,6000000,131,569,2,2007,2007,2008,0,1,1,1
8,500000,140,654,1,2000,2010,2010,10,10,0,1
346,0,131,569,1,2008,2008,2008,0,0,0,1
148,200000000,30,237,1,0,2013,2013,0,0,0,0
146,150000,59,267,1,0,2012,2012,0,0,0,0
126,457282,17,99,7,2008,2008,2009,0,1,1,0
309,225000,140,319,1,2013,2014,2014,1,1,0,0
309,1500000,6,299,1,1997,2009,2009,12,12,0,1
39,25305000,131,580,4,2002,2005,2010,3,8,5,1
286,7131124,30,303,3,2007,2008,2010,1,3,2,1
146,13793098,131,432,3,2002,2010,2012,8,10,2,1
291,1999998,17,386,1,1999,2009,2009,10,10,0,1
29,15581502,36,167,2,0,2011,2012,0,0,1,0
146,21376001,137,567,6,2004,2009,2012,5,8,3,1
268,0,131,569,1,2013,2014,2014,1,1,0,0
63,4000000,79,203,1,0,2006,2006,0,0,0,1
29,110640466,137,567,9,1996,2003,2013,7,17,10,1
309,0,38,354,1,0,2002,2002,0,0,0,1
286,8198838,38,177,4,2002,2008,2014,6,12,6,1
286,2090000,131,569,1,0,2009,2009,0,0,0,0
115,5280000,131,573,1,1999,2005,2005,6,6,0,1
29,9599860,163,685,2,0,2011,2014,0,0,3,0
326,22247779,17,48,1,0,2009,2009,0,0,0,1
9,7300000,131,569,1,2013,2013,2013,0,0,0,1
309,20000000,17,366,1,2002,2006,2006,4,4,0,1
309,7974296,11,38,1,1998,2013,2013,15,15,0,1
79,40000,104,449,1,2012,2013,2013,1,1,0,1
47,9800000,11,38,3,0,2008,2010,0,0,2,1
29,15600000,137,567,2,0,2005,2008,0,0,3,1
210,58200000,140,52,5,2000,2000,2007,0,7,7,1
